]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[162]: unknown ByteOrder '@0+' for signal 'AirTemp_Outsd' in message 643; defaulting to 1 (Intel).
Warning: Signals[162]: invalid Factor '[-40|86.5]' for 'AirTemp_Outsd' in message 643; default 1.0 used.
Warning: Signals[162]: invalid Offset 'C' for 'AirTemp_Outsd' in message 643; default 0.0 used.
Warning: Signals[162]: invalid Minimum 'NEO' for 'AirTemp_Outsd' in message 643; left empty.
Warning: Signals[163]: unknown ByteOrder '@0+' for signal 'Bckl_Sw_RL_Stat_SAM_R' in message 643; defaulting to 1 (Intel).
Warning: Signals[163]: invalid Factor '[-1|4]' for 'Bckl_Sw_RL_Stat_SAM_R' in message 643; default 1.0 used.
Warning: Signals[163]: invalid Minimum 'NEO' for 'Bckl_Sw_RL_Stat_SAM_R' in message 643; left empty.
Warning: Signals[164]: unknown ByteOrder '@0+' for signal 'Bckl_Sw_RM_Stat_SAM_R' in message 643; defaulting to 1 (Intel).
Warning: Signals[164]: invalid Factor '[-1|4]' for 'Bckl_Sw_RM_Stat_SAM_R' in message 643; default 1.0 used.
Warning: Signals[164]: invalid Minimum 'NEO' for 'Bckl_Sw_RM_Stat_SAM_R' in message 643; left empty.
Warning: Signals[165]: unknown ByteOrder '@0+' for signal 'Bckl_Sw_RR_Stat_SAM_R' in message 643; defaulting to 1 (Intel).
Warning: Signals[165]: invalid Factor '[-1|4]' for 'Bckl_Sw_RR_Stat_SAM_R' in message 643; default 1.0 used.
Warning: Signals[165]: invalid Minimum 'NEO' for 'Bckl_Sw_RR_Stat_SAM_R' in message 643; left empty.
Warning: Signals[166]: unknown ByteOrder '@0+' for signal 'DL_RLtch_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[166]: invalid Factor '[-1|4]' for 'DL_RLtch_Stat' in message 643; default 1.0 used.
Warning: Signals[166]: invalid Minimum 'NEO' for 'DL_RLtch_Stat' in message 643; left empty.
Warning: Signals[167]: unknown ByteOrder '@0+' for signal 'DrRLtch_FL_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[167]: invalid Factor '[-1|4]' for 'DrRLtch_FL_Stat' in message 643; default 1.0 used.
Warning: Signals[167]: invalid Minimum 'NEO' for 'DrRLtch_FL_Stat' in message 643; left empty.
Warning: Signals[168]: unknown ByteOrder '@0+' for signal 'DrRLtch_FR_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[168]: invalid Factor '[-1|4]' for 'DrRLtch_FR_Stat' in message 643; default 1.0 used.
Warning: Signals[168]: invalid Minimum 'NEO' for 'DrRLtch_FR_Stat' in message 643; left empty.
Warning: Signals[169]: unknown ByteOrder '@0+' for signal 'DrRLtch_RL_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[169]: invalid Factor '[-1|4]' for 'DrRLtch_RL_Stat' in message 643; default 1.0 used.
Warning: Signals[169]: invalid Minimum 'NEO' for 'DrRLtch_RL_Stat' in message 643; left empty.
Warning: Signals[170]: unknown ByteOrder '@0+' for signal 'DrRLtch_RR_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[170]: invalid Factor '[-1|4]' for 'DrRLtch_RR_Stat' in message 643; default 1.0 used.
Warning: Signals[170]: invalid Minimum 'NEO' for 'DrRLtch_RR_Stat' in message 643; left empty.
Warning: Signals[171]: unknown ByteOrder '@0+' for signal 'EngHd_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[171]: invalid Factor '[-1|4]' for 'EngHd_Stat' in message 643; default 1.0 used.
Warning: Signals[171]: invalid Minimum 'NEO' for 'EngHd_Stat' in message 643; left empty.
Warning: Signals[172]: unknown ByteOrder '@0+' for signal 'LoBm_On_Rq' in message 643; defaulting to 1 (Intel).
Warning: Signals[172]: invalid Factor '[0|1]' for 'LoBm_On_Rq' in message 643; default 1.0 used.
Warning: Signals[172]: invalid Minimum 'NEO' for 'LoBm_On_Rq' in message 643; left empty.
Warning: Signals[173]: unknown ByteOrder '@0+' for signal 'HiBm_On' in message 643; defaulting to 1 (Intel).
Warning: Signals[173]: invalid Factor '[0|1]' for 'HiBm_On' in message 643; default 1.0 used.
Warning: Signals[173]: invalid Minimum 'NEO' for 'HiBm_On' in message 643; left empty.
Warning: Signals[174]: unknown ByteOrder '@0+' for signal 'Hrn_On' in message 643; defaulting to 1 (Intel).
Warning: Signals[174]: invalid Factor '[0|1]' for 'Hrn_On' in message 643; default 1.0 used.
Warning: Signals[174]: invalid Minimum 'NEO' for 'Hrn_On' in message 643; left empty.
Warning: Signals[175]: unknown ByteOrder '@0+' for signal 'IrLmp_D_Lt_Flt' in message 643; defaulting to 1 (Intel).
Warning: Signals[175]: invalid Factor '[0|1]' for 'IrLmp_D_Lt_Flt' in message 643; default 1.0 used.
Warning: Signals[175]: invalid Minimum 'NEO' for 'IrLmp_D_Lt_Flt' in message 643; left empty.
Warning: Signals[176]: unknown ByteOrder '@0+' for signal 'IrLmp_P_Rt_Flt' in message 643; defaulting to 1 (Intel).
Warning: Signals[176]: invalid Factor '[0|1]' for 'IrLmp_P_Rt_Flt' in message 643; default 1.0 used.
Warning: Signals[176]: invalid Minimum 'NEO' for 'IrLmp_P_Rt_Flt' in message 643; left empty.
Warning: Signals[177]: unknown ByteOrder '@0+' for signal 'LgtSens_Twlgt' in message 643; defaulting to 1 (Intel).
Warning: Signals[177]: invalid Factor '[0|7]' for 'LgtSens_Twlgt' in message 643; default 1.0 used.
Warning: Signals[177]: invalid Offset 'Steps' for 'LgtSens_Twlgt' in message 643; default 0.0 used.
Warning: Signals[177]: invalid Minimum 'NEO' for 'LgtSens_Twlgt' in message 643; left empty.
Warning: Signals[178]: unknown ByteOrder '@0+' for signal 'LgtSens_SNA' in message 643; defaulting to 1 (Intel).
Warning: Signals[178]: invalid Factor '[0|1]' for 'LgtSens_SNA' in message 643; default 1.0 used.
Warning: Signals[178]: invalid Minimum 'NEO' for 'LgtSens_SNA' in message 643; left empty.
Warning: Signals[179]: unknown ByteOrder '@0+' for signal 'LgtSens_Tunnel' in message 643; defaulting to 1 (Intel).
Warning: Signals[179]: invalid Factor '[0|1]' for 'LgtSens_Tunnel' in message 643; default 1.0 used.
Warning: Signals[179]: invalid Minimum 'NEO' for 'LgtSens_Tunnel' in message 643; left empty.
Warning: Signals[180]: unknown ByteOrder '@0+' for signal 'LgtSens_Flt' in message 643; defaulting to 1 (Intel).
Warning: Signals[180]: invalid Factor '[0|1]' for 'LgtSens_Flt' in message 643; default 1.0 used.
Warning: Signals[180]: invalid Minimum 'NEO' for 'LgtSens_Flt' in message 643; left empty.
Warning: Signals[181]: unknown ByteOrder '@0+' for signal 'LgtSens_Night' in message 643; defaulting to 1 (Intel).
Warning: Signals[181]: invalid Factor '[-1|2]' for 'LgtSens_Night' in message 643; default 1.0 used.
Warning: Signals[181]: invalid Minimum 'NEO' for 'LgtSens_Night' in message 643; left empty.
Warning: Signals[182]: unknown ByteOrder '@0+' for signal 'ADL_LoBm_On_Rq' in message 643; defaulting to 1 (Intel).
Warning: Signals[182]: invalid Factor '[0|1]' for 'ADL_LoBm_On_Rq' in message 643; default 1.0 used.
Warning: Signals[182]: invalid Minimum 'NEO' for 'ADL_LoBm_On_Rq' in message 643; left empty.
Warning: Signals[183]: unknown ByteOrder '@0+' for signal 'LoBm_D_Lt_Flt' in message 643; defaulting to 1 (Intel).
Warning: Signals[183]: invalid Factor '[0|1]' for 'LoBm_D_Lt_Flt' in message 643; default 1.0 used.
Warning: Signals[183]: invalid Minimum 'NEO' for 'LoBm_D_Lt_Flt' in message 643; left empty.
Warning: Signals[184]: unknown ByteOrder '@0+' for signal 'LoBm_P_Rt_Flt' in message 643; defaulting to 1 (Intel).
Warning: Signals[184]: invalid Factor '[0|1]' for 'LoBm_P_Rt_Flt' in message 643; default 1.0 used.
Warning: Signals[184]: invalid Minimum 'NEO' for 'LoBm_P_Rt_Flt' in message 643; left empty.
Warning: Signals[185]: unknown ByteOrder '@0+' for signal 'MPkBrk_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[185]: invalid Factor '[-1|2]' for 'MPkBrk_Stat' in message 643; default 1.0 used.
Warning: Signals[185]: invalid Minimum 'NEO' for 'MPkBrk_Stat' in message 643; left empty.
Warning: Signals[186]: unknown ByteOrder '@0+' for signal 'RevGr_Engg' in message 643; defaulting to 1 (Intel).
Warning: Signals[186]: invalid Factor '[-1|4]' for 'RevGr_Engg' in message 643; default 1.0 used.
Warning: Signals[186]: invalid Minimum 'NEO' for 'RevGr_Engg' in message 643; left empty.
Warning: Signals[187]: unknown ByteOrder '@0+' for signal 'StW_Cond_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[187]: invalid Factor '[-1|4]' for 'StW_Cond_Stat' in message 643; default 1.0 used.
Warning: Signals[187]: invalid Minimum 'NEO' for 'StW_Cond_Stat' in message 643; left empty.
Warning: Signals[188]: unknown ByteOrder '@0+' for signal 'Term54_Actv' in message 643; defaulting to 1 (Intel).
Warning: Signals[188]: invalid Factor '[0|1]' for 'Term54_Actv' in message 643; default 1.0 used.
Warning: Signals[188]: invalid Minimum 'NEO' for 'Term54_Actv' in message 643; left empty.
Warning: Signals[189]: unknown ByteOrder '@0+' for signal 'Trlr_Stat' in message 643; defaulting to 1 (Intel).
Warning: Signals[189]: invalid Factor '[-1|4]' for 'Trlr_Stat' in message 643; default 1.0 used.
Warning: Signals[189]: invalid Minimum 'NEO' for 'Trlr_Stat' in message 643; left empty.
Warning: Signals[190]: unknown ByteOrder '@0+' for signal 'VTA_Alm_Actv' in message 643; defaulting to 1 (Intel).
Warning: Signals[190]: invalid Factor '[0|1]' for 'VTA_Alm_Actv' in message 643; default 1.0 used.
Warning: Signals[190]: invalid Minimum 'NEO' for 'VTA_Alm_Actv' in message 643; left empty.
Warning: Signals[191]: unknown ByteOrder '@0+' for signal 'WprOutsdPkPosn' in message 643; defaulting to 1 (Intel).
Warning: Signals[191]: invalid Factor '[0|1]' for 'WprOutsdPkPosn' in message 643; default 1.0 used.
Warning: Signals[191]: invalid Minimum 'NEO' for 'WprOutsdPkPosn' in message 643; left empty.
Warning: Signals[192]: unknown ByteOrder '@1+' for signal 'UI_radarTargetDx' in message 696; defaulting to 1 (Intel).
Warning: Signals[192]: invalid Factor '[-95|160]' for 'UI_radarTargetDx' in message 696; default 1.0 used.
Warning: Signals[192]: invalid Offset 'm' for 'UI_radarTargetDx' in message 696; default 0.0 used.
Warning: Signals[192]: invalid Minimum 'DAS' for 'UI_radarTargetDx' in message 696; left empty.
Warning: Signals[193]: unknown ByteOrder '@1+' for signal 'UI_radarTargetDxEnd' in message 696; defaulting to 1 (Intel).
Warning: Signals[193]: invalid Factor '[0|255]' for 'UI_radarTargetDxEnd' in message 696; default 1.0 used.
Warning: Signals[193]: invalid Offset 'm' for 'UI_radarTargetDxEnd' in message 696; default 0.0 used.
Warning: Signals[193]: invalid Minimum 'DAS' for 'UI_radarTargetDxEnd' in message 696; left empty.
Warning: Signals[194]: unknown ByteOrder '@1+' for signal 'UI_radarTargetTrustMap' in message 696; defaulting to 1 (Intel).
Warning: Signals[194]: invalid Factor '[0|1]' for 'UI_radarTargetTrustMap' in message 696; default 1.0 used.
Warning: Signals[194]: invalid Minimum 'DAS' for 'UI_radarTargetTrustMap' in message 696; left empty.
Warning: Signals[195]: unknown ByteOrder '@1+' for signal 'UI_radarEnableBraking' in message 696; defaulting to 1 (Intel).
Warning: Signals[195]: invalid Factor '[0|1]' for 'UI_radarEnableBraking' in message 696; default 1.0 used.
Warning: Signals[195]: invalid Minimum 'DAS' for 'UI_radarEnableBraking' in message 696; left empty.
Warning: Signals[196]: unknown ByteOrder '@1+' for signal 'UI_radarMapDataCounter' in message 696; defaulting to 1 (Intel).
Warning: Signals[196]: invalid Factor '[0|0]' for 'UI_radarMapDataCounter' in message 696; default 1.0 used.
Warning: Signals[196]: invalid Minimum 'DAS' for 'UI_radarMapDataCounter' in message 696; left empty.
Warning: Signals[197]: unknown ByteOrder '@1+' for signal 'UI_radarMapDataChecksum' in message 696; defaulting to 1 (Intel).
Warning: Signals[197]: invalid Factor '[0|0]' for 'UI_radarMapDataChecksum' in message 696; default 1.0 used.
Warning: Signals[197]: invalid Minimum 'DAS' for 'UI_radarMapDataChecksum' in message 696; left empty.
Warning: Signals[198]: unknown ByteOrder '@1+' for signal 'DAS_setSpeed' in message 697; defaulting to 1 (Intel).
Warning: Signals[198]: invalid Factor '[0|409.4]' for 'DAS_setSpeed' in message 697; default 1.0 used.
Warning: Signals[198]: invalid Offset 'kph' for 'DAS_setSpeed' in message 697; default 0.0 used.
Warning: Signals[198]: invalid Minimum 'NEO' for 'DAS_setSpeed' in message 697; left empty.
Warning: Signals[199]: unknown ByteOrder '@1+' for signal 'DAS_accState' in message 697; defaulting to 1 (Intel).
Warning: Signals[199]: invalid Factor '[0|0]' for 'DAS_accState' in message 697; default 1.0 used.
Warning: Signals[199]: invalid Minimum 'NEO' for 'DAS_accState' in message 697; left empty.
Warning: Signals[200]: unknown ByteOrder '@1+' for signal 'DAS_aebEvent' in message 697; defaulting to 1 (Intel).
Warning: Signals[200]: invalid Factor '[0|3]' for 'DAS_aebEvent' in message 697; default 1.0 used.
Warning: Signals[200]: invalid Minimum 'NEO' for 'DAS_aebEvent' in message 697; left empty.
Warning: Signals[201]: unknown ByteOrder '@1+' for signal 'DAS_jerkMin' in message 697; defaulting to 1 (Intel).
Warning: Signals[201]: invalid Factor '[-15.232|0.098]' for 'DAS_jerkMin' in message 697; default 1.0 used.
Warning: Signals[201]: invalid Offset 'm/s^3' for 'DAS_jerkMin' in message 697; default 0.0 used.
Warning: Signals[201]: invalid Minimum 'NEO' for 'DAS_jerkMin' in message 697; left empty.
Warning: Signals[202]: unknown ByteOrder '@1+' for signal 'DAS_jerkMax' in message 697; defaulting to 1 (Intel).
Warning: Signals[202]: invalid Factor '[0|15.045]' for 'DAS_jerkMax' in message 697; default 1.0 used.
Warning: Signals[202]: invalid Offset 'm/s^3' for 'DAS_jerkMax' in message 697; default 0.0 used.
Warning: Signals[202]: invalid Minimum 'NEO' for 'DAS_jerkMax' in message 697; left empty.
Warning: Signals[203]: unknown ByteOrder '@1+' for signal 'DAS_accelMin' in message 697; defaulting to 1 (Intel).
Warning: Signals[203]: invalid Factor '[-15|5.44]' for 'DAS_accelMin' in message 697; default 1.0 used.
Warning: Signals[203]: invalid Offset 'm/s^2' for 'DAS_accelMin' in message 697; default 0.0 used.
Warning: Signals[203]: invalid Minimum 'NEO' for 'DAS_accelMin' in message 697; left empty.
Warning: Signals[204]: unknown ByteOrder '@1+' for signal 'DAS_accelMax' in message 697; defaulting to 1 (Intel).
Warning: Signals[204]: invalid Factor '[-15|5.44]' for 'DAS_accelMax' in message 697; default 1.0 used.
Warning: Signals[204]: invalid Offset 'm/s^2' for 'DAS_accelMax' in message 697; default 0.0 used.
Warning: Signals[204]: invalid Minimum 'NEO' for 'DAS_accelMax' in message 697; left empty.
Warning: Signals[205]: unknown ByteOrder '@1+' for signal 'DAS_controlCounter' in message 697; defaulting to 1 (Intel).
Warning: Signals[205]: invalid Factor '[0|0]' for 'DAS_controlCounter' in message 697; default 1.0 used.
Warning: Signals[205]: invalid Minimum 'NEO' for 'DAS_controlCounter' in message 697; left empty.
Warning: Signals[206]: unknown ByteOrder '@1+' for signal 'DAS_controlChecksum' in message 697; defaulting to 1 (Intel).
Warning: Signals[206]: invalid Factor '[0|0]' for 'DAS_controlChecksum' in message 697; default 1.0 used.
Warning: Signals[206]: invalid Minimum 'NEO' for 'DAS_controlChecksum' in message 697; left empty.
Warning: Signals[207]: unknown ByteOrder '@1-' for signal 'UI_roadCurvC0' in message 712; defaulting to 1 (Intel).
Warning: Signals[207]: invalid Factor '[-20.48|20.46]' for 'UI_roadCurvC0' in message 712; default 1.0 used.
Warning: Signals[207]: invalid Offset 'm' for 'UI_roadCurvC0' in message 712; default 0.0 used.
Warning: Signals[207]: invalid Minimum 'DAS' for 'UI_roadCurvC0' in message 712; left empty.
Warning: Signals[208]: unknown ByteOrder '@1-' for signal 'UI_roadCurvC1' in message 712; defaulting to 1 (Intel).
Warning: Signals[208]: invalid Factor '[-0.384|0.38325]' for 'UI_roadCurvC1' in message 712; default 1.0 used.
Warning: Signals[208]: invalid Minimum 'DAS' for 'UI_roadCurvC1' in message 712; left empty.
Warning: Signals[209]: unknown ByteOrder '@1-' for signal 'UI_roadCurvC2' in message 712; defaulting to 1 (Intel).
Warning: Signals[209]: invalid Factor '[-0.03072|0.03071625]' for 'UI_roadCurvC2' in message 712; default 1.0 used.
Warning: Signals[209]: invalid Offset '1/m' for 'UI_roadCurvC2' in message 712; default 0.0 used.
Warning: Signals[209]: invalid Minimum 'DAS' for 'UI_roadCurvC2' in message 712; left empty.
Warning: Signals[210]: unknown ByteOrder '@1-' for signal 'UI_roadCurvC3' in message 712; defaulting to 1 (Intel).
Warning: Signals[210]: invalid Factor '[-0.00012288|0.00012285]' for 'UI_roadCurvC3' in message 712; default 1.0 used.
Warning: Signals[210]: invalid Offset '1/m2' for 'UI_roadCurvC3' in message 712; default 0.0 used.
Warning: Signals[210]: invalid Minimum 'DAS' for 'UI_roadCurvC3' in message 712; left empty.
Warning: Signals[211]: unknown ByteOrder '@1+' for signal 'UI_roadCurvRange' in message 712; defaulting to 1 (Intel).
Warning: Signals[211]: invalid Factor '[0|252]' for 'UI_roadCurvRange' in message 712; default 1.0 used.
Warning: Signals[211]: invalid Offset 'm' for 'UI_roadCurvRange' in message 712; default 0.0 used.
Warning: Signals[211]: invalid Minimum 'DAS' for 'UI_roadCurvRange' in message 712; left empty.
Warning: Signals[212]: unknown ByteOrder '@1+' for signal 'UI_roadCurvHealth' in message 712; defaulting to 1 (Intel).
Warning: Signals[212]: invalid Factor '[0|0]' for 'UI_roadCurvHealth' in message 712; default 1.0 used.
Warning: Signals[212]: invalid Minimum 'DAS' for 'UI_roadCurvHealth' in message 712; left empty.
Warning: Signals[213]: unknown ByteOrder '@1+' for signal 'UI_roadCurvChecksum' in message 712; defaulting to 1 (Intel).
Warning: Signals[213]: invalid Factor '[0|0]' for 'UI_roadCurvChecksum' in message 712; default 1.0 used.
Warning: Signals[213]: invalid Minimum 'Vector__XXX' for 'UI_roadCurvChecksum' in message 712; left empty.
Warning: Signals[214]: unknown ByteOrder '@1-' for signal 'UI_csaOfframpCurvC2' in message 728; defaulting to 1 (Intel).
Warning: Signals[214]: invalid Factor '[-0.032768|0.032767]' for 'UI_csaOfframpCurvC2' in message 728; default 1.0 used.
Warning: Signals[214]: invalid Offset '1/m' for 'UI_csaOfframpCurvC2' in message 728; default 0.0 used.
Warning: Signals[214]: invalid Minimum 'DAS' for 'UI_csaOfframpCurvC2' in message 728; left empty.
Warning: Signals[215]: unknown ByteOrder '@1-' for signal 'UI_csaOfframpCurvC3' in message 728; defaulting to 1 (Intel).
Warning: Signals[215]: invalid Factor '[-0.000131072|0.000131068]' for 'UI_csaOfframpCurvC3' in message 728; default 1.0 used.
Warning: Signals[215]: invalid Offset '1/m2' for 'UI_csaOfframpCurvC3' in message 728; default 0.0 used.
Warning: Signals[215]: invalid Minimum 'DAS' for 'UI_csaOfframpCurvC3' in message 728; left empty.
Warning: Signals[216]: unknown ByteOrder '@1+' for signal 'UI_csaOfframpCurvRange' in message 728; defaulting to 1 (Intel).
Warning: Signals[216]: invalid Factor '[0|510]' for 'UI_csaOfframpCurvRange' in message 728; default 1.0 used.
Warning: Signals[216]: invalid Offset 'm' for 'UI_csaOfframpCurvRange' in message 728; default 0.0 used.
Warning: Signals[216]: invalid Minimum 'DAS' for 'UI_csaOfframpCurvRange' in message 728; left empty.
Warning: Signals[217]: unknown ByteOrder '@1+' for signal 'UI_csaOfframpCurvCounter' in message 728; defaulting to 1 (Intel).
Warning: Signals[217]: invalid Factor '[0|255]' for 'UI_csaOfframpCurvCounter' in message 728; default 1.0 used.
Warning: Signals[217]: invalid Minimum 'Vector__XXX' for 'UI_csaOfframpCurvCounter' in message 728; left empty.
Warning: Signals[218]: unknown ByteOrder '@1+' for signal 'UI_csaOfframpCurvUsingTspline' in message 728; defaulting to 1 (Intel).
Warning: Signals[218]: invalid Factor '[0|1]' for 'UI_csaOfframpCurvUsingTspline' in message 728; default 1.0 used.
Warning: Signals[218]: invalid Minimum 'DAS' for 'UI_csaOfframpCurvUsingTspline' in message 728; left empty.
Warning: Signals[219]: unknown ByteOrder '@1+' for signal 'UI_csaOfframpCurvReserved' in message 728; defaulting to 1 (Intel).
Warning: Signals[219]: invalid Factor '[0|0]' for 'UI_csaOfframpCurvReserved' in message 728; default 1.0 used.
Warning: Signals[219]: invalid Minimum 'Vector__XXX' for 'UI_csaOfframpCurvReserved' in message 728; left empty.
Warning: Signals[220]: unknown ByteOrder '@1+' for signal 'UI_csaOfframpCurvChecksum' in message 728; defaulting to 1 (Intel).
Warning: Signals[220]: invalid Factor '[0|0]' for 'UI_csaOfframpCurvChecksum' in message 728; default 1.0 used.
Warning: Signals[220]: invalid Minimum 'Vector__XXX' for 'UI_csaOfframpCurvChecksum' in message 728; left empty.
Warning: Signals[221]: unknown ByteOrder '@1-' for signal 'UI_csaRoadCurvC2' in message 744; defaulting to 1 (Intel).
Warning: Signals[221]: invalid Factor '[-0.032768|0.032767]' for 'UI_csaRoadCurvC2' in message 744; default 1.0 used.
Warning: Signals[221]: invalid Offset '1/m' for 'UI_csaRoadCurvC2' in message 744; default 0.0 used.
Warning: Signals[221]: invalid Minimum 'DAS' for 'UI_csaRoadCurvC2' in message 744; left empty.
Warning: Signals[222]: unknown ByteOrder '@1-' for signal 'UI_csaRoadCurvC3' in message 744; defaulting to 1 (Intel).
Warning: Signals[222]: invalid Factor '[-0.000131072|0.000131068]' for 'UI_csaRoadCurvC3' in message 744; default 1.0 used.
Warning: Signals[222]: invalid Offset '1/m2' for 'UI_csaRoadCurvC3' in message 744; default 0.0 used.
Warning: Signals[222]: invalid Minimum 'DAS' for 'UI_csaRoadCurvC3' in message 744; left empty.
Warning: Signals[223]: unknown ByteOrder '@1+' for signal 'UI_csaRoadCurvRange' in message 744; defaulting to 1 (Intel).
Warning: Signals[223]: invalid Factor '[0|510]' for 'UI_csaRoadCurvRange' in message 744; default 1.0 used.
Warning: Signals[223]: invalid Offset 'm' for 'UI_csaRoadCurvRange' in message 744; default 0.0 used.
Warning: Signals[223]: invalid Minimum 'DAS' for 'UI_csaRoadCurvRange' in message 744; left empty.
Warning: Signals[224]: unknown ByteOrder '@1+' for signal 'UI_csaRoadCurvCounter' in message 744; defaulting to 1 (Intel).
Warning: Signals[224]: invalid Factor '[0|255]' for 'UI_csaRoadCurvCounter' in message 744; default 1.0 used.
Warning: Signals[224]: invalid Minimum 'Vector__XXX' for 'UI_csaRoadCurvCounter' in message 744; left empty.
Warning: Signals[225]: unknown ByteOrder '@1+' for signal 'UI_csaRoadCurvUsingTspline' in message 744; defaulting to 1 (Intel).
Warning: Signals[225]: invalid Factor '[0|1]' for 'UI_csaRoadCurvUsingTspline' in message 744; default 1.0 used.
Warning: Signals[225]: invalid Minimum 'DAS' for 'UI_csaRoadCurvUsingTspline' in message 744; left empty.
Warning: Signals[226]: unknown ByteOrder '@1+' for signal 'UI_csaRoadCurvReserved' in message 744; defaulting to 1 (Intel).
Warning: Signals[226]: invalid Factor '[0|0]' for 'UI_csaRoadCurvReserved' in message 744; default 1.0 used.
Warning: Signals[226]: invalid Minimum 'Vector__XXX' for 'UI_csaRoadCurvReserved' in message 744; left empty.
Warning: Signals[227]: unknown ByteOrder '@1+' for signal 'UI_csaRoadCurvChecksum' in message 744; defaulting to 1 (Intel).
Warning: Signals[227]: invalid Factor '[0|0]' for 'UI_csaRoadCurvChecksum' in message 744; default 1.0 used.
Warning: Signals[227]: invalid Minimum 'Vector__XXX' for 'UI_csaRoadCurvChecksum' in message 744; left empty.
Warning: Signals[228]: unknown ByteOrder '@1+' for signal 'UI_gpsHDOP' in message 760; defaulting to 1 (Intel).
Warning: Signals[228]: invalid Factor '[0|25.5]' for 'UI_gpsHDOP' in message 760; default 1.0 used.
Warning: Signals[228]: invalid Minimum 'DAS' for 'UI_gpsHDOP' in message 760; left empty.
Warning: Signals[229]: unknown ByteOrder '@1+' for signal 'UI_gpsVehicleHeading' in message 760; defaulting to 1 (Intel).
Warning: Signals[229]: invalid Factor '[0|511.9921875]' for 'UI_gpsVehicleHeading' in message 760; default 1.0 used.
Warning: Signals[229]: invalid Offset 'deg' for 'UI_gpsVehicleHeading' in message 760; default 0.0 used.
Warning: Signals[229]: invalid Minimum 'DAS' for 'UI_gpsVehicleHeading' in message 760; left empty.
Warning: Signals[230]: unknown ByteOrder '@1+' for signal 'UI_gpsVehicleSpeed' in message 760; defaulting to 1 (Intel).
Warning: Signals[230]: invalid Factor '[0|250.996]' for 'UI_gpsVehicleSpeed' in message 760; default 1.0 used.
Warning: Signals[230]: invalid Offset 'km/hr' for 'UI_gpsVehicleSpeed' in message 760; default 0.0 used.
Warning: Signals[230]: invalid Minimum 'Vector__XXX' for 'UI_gpsVehicleSpeed' in message 760; left empty.
Warning: Signals[231]: unknown ByteOrder '@1+' for signal 'UI_userSpeedOffset' in message 760; defaulting to 1 (Intel).
Warning: Signals[231]: invalid Factor '[-30|33]' for 'UI_userSpeedOffset' in message 760; default 1.0 used.
Warning: Signals[231]: invalid Offset 'kph/mph' for 'UI_userSpeedOffset' in message 760; default 0.0 used.
Warning: Signals[231]: invalid Minimum 'DAS' for 'UI_userSpeedOffset' in message 760; left empty.
Warning: Signals[232]: unknown ByteOrder '@1+' for signal 'UI_mapSpeedLimitUnits' in message 760; defaulting to 1 (Intel).
Warning: Signals[232]: invalid Factor '[0|1]' for 'UI_mapSpeedLimitUnits' in message 760; default 1.0 used.
Warning: Signals[232]: invalid Minimum 'DAS' for 'UI_mapSpeedLimitUnits' in message 760; left empty.
Warning: Signals[233]: unknown ByteOrder '@1+' for signal 'UI_userSpeedOffsetUnits' in message 760; defaulting to 1 (Intel).
Warning: Signals[233]: invalid Factor '[0|1]' for 'UI_userSpeedOffsetUnits' in message 760; default 1.0 used.
Warning: Signals[233]: invalid Minimum 'DAS' for 'UI_userSpeedOffsetUnits' in message 760; left empty.
Warning: Signals[234]: unknown ByteOrder '@1+' for signal 'UI_mppSpeedLimit' in message 760; defaulting to 1 (Intel).
Warning: Signals[234]: invalid Factor '[0|155]' for 'UI_mppSpeedLimit' in message 760; default 1.0 used.
Warning: Signals[234]: invalid Offset 'kph/mph' for 'UI_mppSpeedLimit' in message 760; default 0.0 used.
Warning: Signals[234]: invalid Minimum 'DAS' for 'UI_mppSpeedLimit' in message 760; left empty.
Warning: Signals[235]: unknown ByteOrder '@1+' for signal 'UI_gpsNmeaMIA' in message 760; defaulting to 1 (Intel).
Warning: Signals[235]: invalid Factor '[0|0]' for 'UI_gpsNmeaMIA' in message 760; default 1.0 used.
Warning: Signals[235]: invalid Minimum 'DAS' for 'UI_gpsNmeaMIA' in message 760; left empty.
Warning: Signals[236]: unknown ByteOrder '@1+' for signal 'YEAR' in message 792; defaulting to 1 (Intel).
Warning: Signals[236]: invalid Factor '[2000|2127]' for 'YEAR' in message 792; default 1.0 used.
Warning: Signals[236]: invalid Offset 'Year' for 'YEAR' in message 792; default 0.0 used.
Warning: Signals[236]: invalid Minimum 'NEO' for 'YEAR' in message 792; left empty.
Warning: Signals[237]: unknown ByteOrder '@1+' for signal 'CERRD' in message 792; defaulting to 1 (Intel).
Warning: Signals[237]: invalid Factor '[0|1]' for 'CERRD' in message 792; default 1.0 used.
Warning: Signals[237]: invalid Minimum 'NEO' for 'CERRD' in message 792; left empty.
